case_id,trans
1003814,"[0.48422863213990586, 0.4599267699185287, -3.0555683421541753, -19.018097105250803, -0.5396749443503945, -0.5125827573038049, -2.741658054179512, 203.6507825926746, -0.12581568174443686, 0.1324646953984309, 2.7798996240925826e-06, 10.636674554179468, 0.0, 0.0, 0.0, 1.0]"
1038548,"[0.550913429518913, 0.4244072039534983, -2.9500047637733107, -5.697127205015036, -0.5692586458825896, -0.43854020624801515, -2.854935458846619, 208.68265017547486, -0.11149306208862474, 0.14472656427337557, -1.6408548063451712e-07, 7.286388855066404, 0.0, 0.0, 0.0, 1.0]"
1040266,"[0.4706770166392017, 0.6956837340916794, -2.227790076156176, -48.53773682512469, -0.30409115004554993, -0.4494617454153971, -3.448207644131341, 180.29141641861295, -0.15131420873041218, 0.10237427184876197, -3.499323454373875e-08, 14.846483424859901, 0.0, 0.0, 0.0, 1.0]"
1045632,"[0.5566028662237278, 0.5630920221764247, -2.5076429060563465, -39.41991443092509, -0.42941594269677213, -0.4344222629348641, -3.25037133810262, 191.48819107788268, -0.1299294658756249, 0.12843214238480116, 1.1120231998911039e-08, 13.21760946738482, 0.0, 0.0, 0.0, 1.0]"
1049294,"[0.5036275389391095, 0.45721363254419095, -3.0092306009093583, -21.56738034510667, -0.5427266638447212, -0.4927096148745939, -2.7924390362219764, 213.42653661085188, -0.12279955307603398, 0.13526548364087937, -7.597191994952001e-08, 11.655314428457219, 0.0, 0.0, 0.0, 1.0]"
1055302,"[0.43575333544509165, 0.3733120090763019, -3.3622008373965824, -11.646934740826161, -0.6219659321749141, -0.5328372676011817, -2.35558699890808, 219.64545498568333, -0.11885920475544509, 0.1387406600282618, 1.3013329262304283e-06, 8.686079991336007, 0.0, 0.0, 0.0, 1.0]"
1058822,"[0.19320742667392712, 0.11133988911006719, -4.001893390112217, 26.0129749142067, -0.8446130199975577, -0.48672712717131694, -0.9154431025625567, 243.98730211707738, -0.0912181520911834, 0.15829001872936818, -1.3180927000731914e-07, 6.250102849654052, 0.0, 0.0, 0.0, 1.0]"
1067109,"[0.591528145248004, 0.5406091034134254, -2.4557443642188805, -28.25902617955215, -0.4415624844971375, -0.4035577071249718, -3.2897574679475876, 188.78365429797128, -0.12324854926739308, 0.13485650300763746, -2.282363377428417e-06, 9.944042161818885, 0.0, 0.0, 0.0, 1.0]"
1113915,"[0.5058668801150988, 0.5296120029303378, -2.7952284289719005, -36.15615904081716, -0.47029654449113706, -0.49237281220086765, -3.0066397539995258, 207.57176428812153, -0.13211065408803857, 0.1261873859650806, -3.025967869828492e-07, 9.802054049760658, 0.0, 0.0, 0.0, 1.0]"
1116877,"[0.5344681556181761, 0.4537407035984145, -2.733623527799678, -25.187089696426966, -0.5076261734675821, -0.4309471010492606, -2.878187105823075, 206.48991524623858, -0.11823562210777064, 0.13927246305240476, 2.530797903936751e-06, 8.428519940931213, 0.0, 0.0, 0.0, 1.0]"
1135845,"[0.5423903228614458, 0.5135785070927263, -2.729459652519095, -28.850079930570246, -0.48278004745541697, -0.4571360968037467, -3.066469759367418, 202.4158563871177, -0.12561159188469953, 0.1326582424293662, -5.543329502885311e-07, 11.516610296193933, 0.0, 0.0, 0.0, 1.0]"
1151362,"[0.5486783308623429, 0.4090365818551994, -2.978505741984992, -11.253588405655293, -0.5816823386054487, -0.43364095250215146, -2.8095084826183787, 207.33780060206377, -0.10919257057793914, 0.1464700100049726, -2.9029979202479612e-08, 10.80915690484983, 0.0, 0.0, 0.0, 1.0]"
1167242,"[0.38277724786204514, 0.3836760178989669, -3.450068260815123, -12.389785495170202, -0.5935561100837895, -0.5949499441050096, -2.2249075432884515, 222.90171528288516, -0.12933438060875316, 0.12903138878902717, -4.312773311609023e-08, 13.015250347908522, 0.0, 0.0, 0.0, 1.0]"
1172891,"[0.43897402056224955, 0.3343333385174977, -3.4237082193589705, 4.397748111722066, -0.6634647550459075, -0.5053093575618114, -2.2652608258545444, 226.7203448728826, -0.11069350143209619, 0.14533901761385656, 5.296699172913484e-07, 7.383047237456706, 0.0, 0.0, 0.0, 1.0]"
1174508,"[0.28340289908838934, 0.1433747210641097, -3.8927040257691434, 12.652662064868302, -0.8461082687280214, -0.4280505621281318, -1.3038558003957266, 230.96846411141496, -0.08247168803336319, 0.1630181032069777, -1.749334577814559e-07, 5.928893214839121, 0.0, 0.0, 0.0, 1.0]"
1188089,"[0.5371132608019449, 0.6220756482354518, -2.3386715825264894, -37.27230707894038, -0.37229120549984424, -0.4311965808263864, -3.373988708997225, 188.96820620909727, -0.13828113858158075, 0.11939350070528221, -6.0814354772994395e-06, 12.536669574269402, 0.0, 0.0, 0.0, 1.0]"
1202478,"[0.4822617641880208, 0.35983913737219103, -3.2789193986875933, -7.653802913032877, -0.6401499105767945, -0.4776479964460934, -2.4701972303363897, 212.819474663529, -0.1092542446362221, 0.14642401213338915, -2.803620592153307e-07, 10.02512562047874, 0.0, 0.0, 0.0, 1.0]"
1207025,"[0.19013817274764325, 0.06569140211361217, -4.0213395584282345, 31.47674937136699, -0.9258595335739677, -0.3198690967342277, -0.8258406239935936, 232.1984571247121, -0.05965725087422291, 0.17267742677695383, 1.2640119327333806e-06, 1.9968425514808816, 0.0, 0.0, 0.0, 1.0]"
1222421,"[0.450292769923533, 0.3188063442869075, -3.4238953642148298, 2.0870971347321188, -0.6806945857391369, -0.4819273261053988, -2.2649784358202347, 224.76883053192995, -0.10556571275242095, 0.14910520309930997, 1.02141102425901e-06, 6.401028039306791, 0.0, 0.0, 0.0, 1.0]"
1225817,"[0.5165990505618925, 0.3118772877691863, -3.2735659570541427, -16.12026186508696, -0.6826505719890257, -0.4121241383348305, -2.4772873682051304, 214.4280314769678, -0.09442095028387276, 0.15640065680093235, 2.0273143067701834e-07, 8.495886576384144, 0.0, 0.0, 0.0, 1.0]"
1233426,"[0.3313387398654042, 0.2831932353485699, -3.694774046164255, -5.010349304415222, -0.684166985526769, -0.5847494312412695, -1.7893662363013565, 231.71972911935114, -0.11869803040438871, 0.13887857602357345, 9.918490028507322e-07, 8.805776210191954, 0.0, 0.0, 0.0, 1.0]"
1234559,"[0.5209918221420422, 0.4828761125821415, -2.889470018514496, -12.147277808270175, -0.5162187193781382, -0.47845210305972313, -2.916187166930748, 200.8810895895738, -0.12418855245837156, 0.13399136068631154, 4.160600205036322e-08, 11.367583298282124, 0.0, 0.0, 0.0, 1.0]"
