subject,time,CD,HD
1366567,time027,2.149224281311035,4.725239489375891
1366567,time001,1.9597153663635254,5.132980656537718
1824234,time023,1.9341027736663818,5.088023668933192
1824234,time001,1.4918450117111206,3.930439034487909
1411958,time020,2.2532126903533936,6.562772801524926
1411958,time001,2.2657642364501953,4.77538357004764
1842768,time020,1.771949291229248,4.452227020296095
1842768,time001,1.3455288410186768,3.9145500403962394
1597400,time023,2.3940930366516113,6.39419760582823
1597400,time001,2.7091894149780273,4.905788564224123
1533885,time026,2.494838237762451,6.439727195062315
1533885,time001,3.4953629970550537,7.961759090583153
1958466,time023,1.966520071029663,5.837857831565007
1958466,time001,1.8976478576660156,7.054100464627807
1886923,time001,2.568140983581543,5.725777103759495
1886923,time035,2.8373546600341797,8.60008066705834
1887989,time022,2.4639816284179688,7.017428455021393
1887989,time001,2.5023698806762695,4.049984560169353
1894962,time020,2.557420492172241,9.092487622911682
1894962,time001,2.8692049980163574,7.052165776621886
1797962,time024,2.1710433959960938,4.897506721735165
1797962,time001,2.522819995880127,5.4855848756490015
1237621,time025,2.9434690475463867,6.262036177934284
1237621,time001,3.594151258468628,8.914746243491399
1354578,time022,2.312263011932373,6.3972832483557385
1354578,time001,2.044381618499756,5.3560444798582845
1855338,time019,2.5395774841308594,6.009655014769162
1855338,time001,3.9742236137390137,6.021366160839856
1881548,time045,2.487027168273926,6.506199783233664
1881548,time001,3.1619529724121094,7.37440250328863
1453436,time023,1.5951688289642334,5.8095827306570875
1453436,time001,1.5478854179382324,4.445435162001944
1521666,time023,1.927114486694336,4.772739573335551
1521666,time001,2.4943559169769287,4.446752983310114
1434538,time022,1.624875545501709,5.007791727821031
1434538,time001,1.6986148357391357,5.378732743979741
1850462,time019,2.7517261505126953,6.597824055162174
1850462,time001,2.952040433883667,5.601933213826254
1208324,time020,1.8086166381835938,6.924315248744598
1208324,time001,2.0594077110290527,4.2723283370392044
1809635,time020,2.347442626953125,5.615951398121008
1809635,time001,3.1996259689331055,6.242677988542241
1260508,time022,1.7589941024780273,5.4260422861473945
1260508,time001,2.4535770416259766,4.558292849444351
1939044,time021,2.255946636199951,6.294197026041013
1939044,time001,2.516200065612793,5.779273080713623
1900084,time024,3.572585105895996,7.974706815036577
1900084,time001,3.997563362121582,6.1419380573565325
1894914,time020,2.234104633331299,5.133094443619741
1894914,time001,2.1537437438964844,5.728293052908801
1732187,time001,2.241779327392578,5.76132259776961
1732187,time016,2.0366430282592773,6.059832109007964
1132329,time023,2.948892116546631,7.0456372257568995
1132329,time001,2.6500165462493896,5.214692911015226
2031541,time026,2.4377026557922363,7.247979882780911
2031541,time001,1.800803303718567,6.003678460343406
2051122,time022,1.6733319759368896,5.2041164818615036
2051122,time001,1.9329758882522583,4.638664608096404
2025475,time024,2.413630962371826,6.639497276383814
2025475,time001,2.515556812286377,5.092611406570423
1502926,time021,2.4262027740478516,5.113264367292313
1502926,time001,1.931102991104126,5.427135756915671
1772631,time030,2.370379686355591,5.651271531937037
1772631,time001,2.0936713218688965,4.79439970355616
2017750,time022,1.7278103828430176,5.3783497997871645
2017750,time001,2.062649965286255,5.738067849657186
1039245,time022,2.0201032161712646,5.497149223761987
1039245,time001,2.092069625854492,5.344951244691414
1047651,time021,2.149676561355591,6.5042318937978045
1047651,time001,1.87556791305542,4.603358900712789
1850964,time025,2.372288703918457,5.598952485072701
1850964,time001,2.9610350131988525,5.072656484784279
1079385,time021,2.5594615936279297,6.604612128635758
1079385,time001,2.6479859352111816,5.614339280976439
1032082,time020,3.063072443008423,5.920999833988314
1032082,time001,2.7586288452148438,6.337236722840428
1780533,time024,2.0610625743865967,6.067752189362497
1780533,time001,2.0331497192382812,5.047257954613005
1891698,time001,1.4361131191253662,3.4715661423179367
1891698,time028,2.0539791584014893,4.490478068452416
1720858,time025,1.8939259052276611,6.218594066079205
1720858,time001,2.0582008361816406,4.539063790937936
1460205,time023,2.705859899520874,6.1258964772404125
1460205,time001,1.9656920433044434,5.165288647099416
1839574,time019,2.695448875427246,5.686050517981561
1839574,time001,2.604602336883545,5.623365944974051
1028892,time021,3.103546380996704,6.461553825388052
1028892,time001,1.7808325290679932,4.749701897868365
1431717,time020,1.716172456741333,5.5280864063763095
1431717,time001,2.124852418899536,4.8728163299130065
1341120,time021,2.7661819458007812,7.211801253390824
1341120,time001,2.7189126014709473,7.702317720744316
1897705,time015,2.034116506576538,5.907230146980751
1897705,time001,1.7441425323486328,5.0902603979639265
1159143,time017,2.3071634769439697,6.137211771811522
1159143,time001,2.6286253929138184,5.345147104152925
1602533,time024,2.1773006916046143,5.608377792730867
1602533,time001,2.1474852561950684,5.572070471426426
1368705,time021,2.595017910003662,11.945135314270049
1368705,time001,2.342833995819092,6.538160409015361
2080044,time022,2.695894718170166,5.681850558904799
2080044,time001,2.212357997894287,5.524865457543983
1880493,time022,2.0898690223693848,6.281811556595365
1880493,time001,1.5571143627166748,4.419247814831222
1181757,time020,3.2295913696289062,6.941313362596345
1181757,time001,2.8295562267303467,4.6272335388044805
1928864,time022,2.4347572326660156,6.070523834868601
1928864,time001,2.1867923736572266,5.280558654860711
1228404,time021,2.2924532890319824,4.764772738647095
1228404,time001,1.8591943979263306,4.62647538699758
1822767,time023,2.549203872680664,6.075353882379376
1822767,time001,2.7215189933776855,6.842283109997951
1601101,time019,1.9545897245407104,5.036212948544733
1601101,time001,2.9304771423339844,5.744730091010729
1423462,time023,2.3831276893615723,5.776733636357301
1423462,time001,2.048910617828369,5.669095417392101
1144818,time025,4.628057479858398,7.273366434590599
1144818,time001,2.435927391052246,5.286459266121473
1637449,time024,1.9672789573669434,6.021201379553086
1637449,time001,2.6735849380493164,4.731915486407341
1918825,time026,3.352207660675049,6.028740147803561
1918825,time001,2.898102045059204,6.473918989896467
1967729,time027,1.7916605472564697,5.770746726659966
